"Current.week" "States.reporting.cases.during.current.week..No.." "MMWR.year" "MMWR.week" "Disease" "c" "threshold" "alert" "cumulate" "cumu14" "ycumulate" "ycumu14" "date"
NA "" 2014 1 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-01-04"
NA "" 2014 2 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-01-11"
NA "" 2014 3 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-01-18"
NA "" 2014 4 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-01-25"
NA "" 2014 5 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-02-01"
NA "" 2014 6 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-02-08"
NA "" 2014 7 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-02-15"
NA "" 2014 8 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-02-22"
NA "" 2014 9 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-03-01"
NA "" 2014 10 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-03-08"
NA "" 2014 11 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-03-15"
NA "" 2014 12 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-03-22"
NA "" 2014 13 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-03-29"
NA "" 2014 14 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-04-05"
NA "" 2014 15 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-04-12"
NA "" 2014 16 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-04-19"
NA "" 2014 17 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-04-26"
NA "" 2014 18 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-05-03"
NA "" 2014 19 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-05-10"
NA "" 2014 20 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-05-17"
NA "" 2014 21 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-05-24"
NA "" 2014 22 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-05-31"
NA "" 2014 23 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-06-07"
NA "" 2014 24 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-06-14"
NA "" 2014 25 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-06-21"
NA "" 2014 26 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-06-28"
NA "" 2014 27 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-07-05"
NA "" 2014 28 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-07-12"
NA "" 2014 29 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-07-19"
NA "" 2014 30 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-07-26"
NA "" 2014 31 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-08-02"
NA "" 2014 32 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-08-09"
NA "" 2014 33 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-08-16"
NA "" 2014 34 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-08-23"
NA "" 2014 35 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-08-30"
NA "" 2014 36 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-09-06"
NA "" 2014 37 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-09-13"
NA "" 2014 38 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-09-20"
NA "" 2014 39 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-09-27"
NA "" 2014 40 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-10-04"
NA "" 2014 41 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-10-11"
NA "" 2014 42 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-10-18"
NA "" 2014 43 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-10-25"
NA "" 2014 44 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-11-01"
NA "" 2014 45 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-11-08"
NA "" 2014 46 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-11-15"
NA "" 2014 47 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-11-22"
NA "" 2014 48 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-11-29"
NA "" 2014 49 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-12-06"
NA "" 2014 50 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-12-13"
NA "" 2014 51 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-12-20"
NA "" 2014 52 "Anthrax" 0 0 "FALSE" 0 0 0 0 "2014-12-27"
